esn;fot;gdp;defl
385.8483299;3450.588;6780.222849;0.786378271
471.3115973;3740.4086;7767.517127;0.819203891
456.5047793;3950.703;8902.73365;0.86393419
534.7357453;4384.4156;9797.039603;0.906300751
450.6642613;4445.7;8877.653354;0.943103561
565.4733617;4829.8;10238.28001;1.000713909
537.0290344;5082.5;11542.04755;1.052565972
559.9764792;5201.8;10618.86827;0.995486695
471.799914;4837.2513;8334.632782;0.975147312
574.7751341;5033.6211;9244.828821;1.017022719
521.1245353;5124.4898;10411.33396;1.038999821
553.3899975;5416.2522;10816.42302;1.04094563
456.6275803;5293.5684;9995.758259;1.123768731
625.1992104;5635.0198;10977.03526;1.150076291
574.731496;5795.4234;12086.46396;1.161719092
622.6923804;6271.6243;13249.28371;1.213434948
728.5378369;6402.257178;11954.23042;1.301342291
950.730196;6823.911107;13376.37814;1.356770372
884.9918746;6952.062846;14732.93116;1.347876461
964.0710894;7584.571232;15903.68704;1.385068926
812.961374;7293.16212;13677.37811;1.42167302
1013.292994;7708.333643;14971.11611;1.4575588
950.5696031;7773.592089;16280.66823;1.445162473
1326.901293;8447.419048;17247.33253;1.472618136
934.0186817;8004.914629;14577.32836;1.504230702
1152.433148;8491.012176;15827.81272;1.523285643
1094.665941;8544.380141;17450.58261;1.529811409
1513.045811;9228.698908;18334.39623;1.533494868
1035.52672;8748.347661;15454.35687;1.585744672
1247.082199;9226.6742;17299.93962;1.653180589
1167.24831;9259.945784;18722.09639;1.627336978
1305.223875;9884.271303;19930.00633;1.659796743
1104.961693;9275.397263;16564.77174;1.738623778
1380.275858;9646.808552;17491.35424;1.752914316
1326.240213;9583.548195;19305.22243;1.750597682
