total_production;revenues;Kc;tax_rate;oil_price;ex_rate
38346.57534;78906.13057;5.462833203;2288.927112;59.18;28.4137
34673.9726;86540.17114;5.117557149;2144.256446;56.37;28.1968
38856.16438;74178.19439;5.183599004;2171.927983;57.53;27.878
37684.93151;83236.82303;5.93396236;2486.330229;65.17;27.5728
39026.0274;92914.11591;5.73606746;2403.412266;64.33;27.0579
38054.79452;93197.33117;5.670796494;2376.063731;63.85;26.9841
39238.35616;89278.77894;6.180160701;2589.487334;68.93;26.9151
39620.54795;100971.3324;6.116024874;2562.614422;68.64;26.7653
38424.65753;100529.1407;5.074244199;2126.108319;58.52;26.7443
40130.13699;80013.75764;4.697210096;1968.13103;54.65;26.8559
38301.36986;76546.2736;4.710731563;1973.796525;55.18;26.6241
40002.73973;82109.1323;4.970263506;2082.540409;58.35;26.2865
40002.73973;72501.66287;4.13762195;1733.663597;49.79;26.4751
36284.93151;66447.0141;4.51334269;1891.090587;53.73;26.3354
40227.80822;65659.96626;4.971094215;2082.888476;58.69;26.111
38502.73973;79709.40817;5.433813885;2276.768018;63.88;25.8423
39875.34247;84242.01097;5.4495619;2283.366436;64.09;25.8184
38794.52055;87667.09848;5.86556546;2457.671928;68.05;25.9257
40172.60274;90837.93388;6.400925207;2681.987662;74.37;25.5567
39875.34247;102888.1331;5.874461517;2461.399376;68.82;25.6308
39123.28767;94684.50301;6.328331602;2651.570941;74.17;25.3444
40342.46575;99072.32929;6.729010345;2819.455334;79.55;24.894
38732.87671;108852.9535;7.601005517;3184.821312;90.06;24.474
39917.80822;118317.6324;7.430098958;3113.211463;87.94;24.5662
39743.69863;119552.2855;7.567271471;3170.686746;89.61;24.5014
37191.50685;120591.7306;7.803321655;3269.591774;92.01;24.5352
39637.53425;117273.513;8.297371632;3476.598714;100.14;23.7614
38202.73973;133542.6226;8.214200084;3441.749835;100.18;23.5129
39556.84932;134130.3042;9.945520858;4167.17324;118.39;23.7296
38358.90411;159521.2552;10.72123664;4492.198154;127.38;23.6378
39680;166512.9887;10.77626;4515.25294;129.45;23.3508
39956.0274;174727.7249;9.460891854;3964.113687;111.31;24.1354
38654.79452;150841.407;8.45378892;3542.137557;96.26;25.2858
40045.20548;130815.4908;6.131533517;2569.112544;69.72;26.3559
38461.64384;96725.69311;4.345724659;1820.858632;50.53;27.3112
39633.28767;67334.93834;3.180111303;1332.466636;38.5;28.1359
39675.75342;48558.63518;3.294838682;1380.537408;42.28;31.5232
35790.13699;51412.26591;3.76280908;1576.617005;42.46;35.7645
39866.84932;50425.3314;3.99706728;1674.77119;45.08;34.682
38872.60274;62593.51524;4.307021839;1804.642151;48.5;33.5562
40040.9589;63297.46029;5.126746345;2148.106718;56.73;32.0652
38864.38356;78991.5493;6.326654943;2650.868421;68.22;31.027
40240.54795;92779.94015;5.93913508;2488.497599;64.18;31.5192
40478.35616;90204.26971;6.956066284;2914.591773;72.4;31.6295
39546.57534;106713.9869;6.16590151;2583.512733;67.22;30.8177
40890.27397;90254.67921;6.484984;2717.208296;72.42;29.4772
39673.9726;98850.41631;6.767562115;2835.608526;75.94;28.9848
40826.57534;100265.9421;6.708574651;2810.892779;73.48;29.9408
40830.82192;100156.207;6.964359847;2918.066776;75.7;29.9456
37006.0274;103362.2937;6.669317908;2794.444203;72.66;30.1889
41119.58904;91720.35839;6.96655977;2918.988544;76.5;29.5654
39641.09589;103392.5094;7.534503851;3156.957113;82.35;29.1983
41153.56164;107931.8031;6.750919264;2828.635172;73.04;30.3582
39973.9726;101256.6448;7.043409678;2951.188655;73.98;31.1687
41234.24658;102406.7196;6.968607801;2919.846669;74.27;30.6868
40864.79452;104995.4091;7.055828701;2956.392226;75.69;30.3439
39965.75342;107194.7693;7.374767548;3090.027603;77.42;30.8365
41684.38356;107275.6727;7.701170904;3226.790609;81.29;30.3214
39957.53425;116877.5806;8.213098866;3441.288425;84.22;30.9682
41272.46575;120246.2722;8.806927586;3690.102659;89.5;30.8538
41484.79452;131692.6424;9.121324195;3821.834838;94.13;30.0855
37485.47945;125750.7044;9.663883793;4049.167309;101.1;29.2947
41416.84932;136317.3282;10.49572667;4397.709473;111.35;28.4316
40253.42466;154095.9727;11.25707548;4716.714626;119.54;28.105
41692.87671;160690.7794;10.32412752;4325.809433;111.68;27.8713
40150.68493;156184.8715;10.39504586;4355.524216;111.95;27.9846
41773.56164;149932.511;10.74016601;4500.129559;115.47;27.9007
41752.32877;159754.7322;10.41549692;4364.093209;109.48;28.7727
39275.34247;159230.7165;11.40287446;4777.804399;112.54;30.5121
42049.58904;172075.1298;11.25787655;4717.050275;108.69;31.362
39431.50685;173348.5393;11.3279646;4746.417166;110.8;30.8622
41909.45205;166754.7389;11.19729249;4691.665555;107.91;31.4551
42015.61644;171185.185;11.44726345;5105.479498;109.8;31.5162
39285.06849;183267.5603;11.92722553;5319.542586;119.17;29.8839
42002.87671;178448.7915;12.16907115;5427.405733;123.15;29.3678
40524.65753;195586.3228;11.55264885;5152.481387;117.3;29.4745
41964.65753;178291.027;11.03009648;4919.423028;108.89;30.662
40524.65753;175436.1976;9.876331184;4404.843708;93.31;32.9169
41964.65753;152152.6726;10.90865011;4865.257951;102.6;32.5018
42070.82192;173560.1005;12.03488932;5367.560636;113.24;31.9738
40853.42466;190828.931;11.67723166;5208.045318;111.66;31.5307
42397.80822;182872.2513;11.40545851;5086.834497;110.74;31.0928
41293.15068;179758.2749;11.24398247;5014.81618;108.44;31.4071
42542.19178;171182.4419;11.03253156;4920.509074;108.67;30.7408
42444.52055;175877.0014;11.26849655;5296.193379;112.2;30.258
38317.80822;186257.6504;11.50636261;5407.990426;114.57;30.1613
42444.52055;171305.2851;10.80432556;5078.033015;106.56;30.7987
41104.10959;178619.6026;10.32809655;4854.205379;101.04;31.33
42542.19178;165512.9469;10.43763954;4905.690584;102.2;31.2411
40910.9589;182430.8606;10.85904345;5103.750421;102.8;32.2803
42686.57534;164491.6967;11.72540055;5510.938259;108.48;32.7378
42737.53425;193987.8903;12.21830193;5742.601908;111.59;33.0156
41432.87671;203449.4652;12.00095675;5640.449673;110.98;32.6344
42928.63014;190601.8503;11.40635569;5360.987174;107.85;32.0631
41954.79452;189271.4136;11.55250204;5429.675958;107.36;32.6462
43187.67123;188380.0571;11.96301126;5622.615294;109.92;32.8945
43022.05479;201431.5591;11.76136755;5798.354203;106.73;33.4647
38762.73973;204160.7359;12.51400276;6169.40336;107.72;35.226
42903.15068;195259.9778;12.73122538;6276.494112;106.76;36.2124
41436.9863;223345.3288;12.52969828;6177.14125;106.7;35.6625
42818.21918;211660.7449;12.4077949;6117.042884;107.71;34.9308
41486.30137;219194.6132;12.39906914;6112.741085;109.05;34.4089
42478.49315;211167.0884;11.96439023;5898.444383;105.15;34.639
42703.56164;209965.8771;11.86830389;5851.073815;100.78;36.1113
41420.54795;206144.9458;11.69966089;5767.932818;95.62;37.8766
43213.15068;198248.6291;11.14563544;5494.798272;86.35;40.771
41806.84932;195083.6519;11.13905546;5491.554344;78.32;45.9143
43302.32877;187898.0026;9.767185862;4815.22263;60.9;55.5389
43510.41096;118218.9116;7.382602;5655.073132;46.14;61.8773
39115.61644;253495.595;10.4856338;8031.995494;57.31;64.6833
43238.63014;266240.1349;9.047679682;6930.522636;54.19;60.2563
41765.75342;251512.0306;8.842547739;6773.391568;58.6;52.9336
43298.08219;238191.4925;9.317384157;7137.116264;63.07;50.5895
42057.53425;259001.8052;9.537960774;7306.077953;60.67;54.5086
