fot;ndfl;gdp;defl;ipc1;ipc2
1341.0392;90.442702;2851.105491;0.434132499;0.605091852;0.571405435
1509.7074;107.185822;3101.693599;0.439814187;0.616232644;0.586506454
1631.4638;118.860043;3600.220824;0.464982867;0.631826277;0.590248946
1749.1776;139.149121;3655.213865;0.460204289;0.654325108;0.608495109
1731.191;116.743763;3515.656534;0.499176385;0.669688799;0.629962846
1936.5068;135.848915;3971.607965;0.521307566;0.682355691;0.645906432
2022.7596;149.48492;4594.022304;0.552844912;0.698724163;0.657401258
2154.5792;172.41074;4945.904056;0.586244664;0.722678598;0.67993992
2133.469;176.6699928;4458.608974;0.59962743;0.740161594;0.715801637
2305.2716;223.9538087;5077.868507;0.628703703;0.75468507;0.734278663
2390.7551;240.0653102;5845.237909;0.663845902;0.768501464;0.738465185
2644.7711;289.6413834;6228.050099;0.684928976;0.782961941;0.754155217
2662.1056;134.648794;5792.948505;0.726092303;0.804686377;0.791743872
2942.3439;169.841848;6368.070329;0.729491275;0.813489023;0.800563968
3050.0517;183.5109488;7275.847142;0.763761729;0.829207172;0.808185722
3331.4045;219.0517527;7480.335399;0.755550826;0.84438988;0.821997349
3450.588;238.8510748;6780.222849;0.786378271;0.858484079;0.850070359
3740.4086;299.5484135;7767.517127;0.819203891;0.869345326;0.868474596
3950.703;326.3157978;8902.73365;0.86393419;0.900828685;0.88374562
4384.4156;401.8416011;9797.039603;0.906300751;0.937490698;0.919562336
4445.7;322.649499;8877.653354;0.943103561;0.967523931;0.963519003
4829.8;411.5238526;10238.28001;1.000713909;1;1
5082.5;453.7908998;11542.04755;1.052565972;1.032028979;1.016788107
5201.8;478.3036724;10618.86827;0.995486695;1.065189556;1.041695461
4837.2513;338.7394237;8334.632782;0.975147312;1.111100518;1.098179098
5033.6211;401.0968221;9244.828821;1.017022719;1.128852141;1.118731703
5124.4898;436.23297;10411.33396;1.038999821;1.143248021;1.125441978
5416.2522;489.7534185;10816.42302;1.04094563;1.154028027;1.133333454
5293.5684;358.8012303;9995.758259;1.123768731;1.17119185;1.169146143
5635.0198;435.3378235;10977.03526;1.150076291;1.177409842;1.182995108
5795.4234;447.3775588;12086.46396;1.161719092;1.203724202;1.20381157
6271.6243;548.9812354;13249.28371;1.213434948;1.230400757;1.232802263
6402.257178;398.3278056;11954.23042;1.301342291;1.261037326;1.279748984
6823.911107;487.3958624;13376.37814;1.356770372;1.276610285;1.294391382
6952.062846;492.8215685;14732.93116;1.347876461;1.292762676;1.290639252
7584.571232;617.2638108;15903.68704;1.385068926;1.311859155;1.308011061
7293.16212;457.7332768;13677.37811;1.42167302;1.33004586;1.327067562
7708.333643;548.6685767;14971.11611;1.4575588;1.34245267;1.350012737
7773.592089;559.8067364;16280.66823;1.445162473;1.365675205;1.375508427
8447.419048;695.2739196;17247.33253;1.472618136;1.385986178;1.394021291
8004.914629;506.8298732;14577.32836;1.504230702;1.403941875;1.420237987
8491.012176;612.4818495;15827.81272;1.523285643;1.418734187;1.442937567
8544.380141;615.6894203;17450.58261;1.529811409;1.440260957;1.459865626
9228.698908;764.0511907;18334.39623;1.533494868;1.463135078;1.483938391
8748.347661;548.2109198;15454.35687;1.585744672;1.488142144;1.518474536
9226.6742;652.7350681;17299.93962;1.653180589;1.525504868;1.55551484
9259.945784;663.7857629;18722.09639;1.627336978;1.558071928;1.577073166
9884.271303;835.9926265;19930.00633;1.659796743;1.627013153;1.652548592
9275.397263;570.2232824;16564.77174;1.738623778;1.749205501;1.7754974
9646.808552;675.2069102;17491.35424;1.752914316;1.780697486;1.793308339
9583.548195;707.7451029;19305.22243;1.750597682;1.815817608;1.824321293
